log_file,Time for ftp sending splits,Time for sending node info,Time for SPLIT,Time for PRESHUFFLE,Time for WAITREADY,Time for SHUFFLE,Time for CALCULATE,Time for RANGE,Time for PRESHUFFLE2,Time for WAITREADY2,Time for SHUFFLE2,Time for communication,Time for computation,Time for synchronization,Time total,Time ratio,servers number,Speedup
output1.txt,4112.0,1.0,412826.0,3645.0,0.0,547.0,238.0,118.0,502.0,1.0,1.0,8260.0,413450.0,281.0,421991.0,0.020657878824525334,1,1.0
output2.txt,3357.0,1.0,173741.0,2265.0,307.0,429.0,283.0,82.0,1235.0,23.0,123.0,7187.0,174333.0,326.0,181846.0,0.043095684695381824,2,2.3205954488963187
output3.txt,3375.0,2.0,148366.0,1952.0,390.0,640.0,268.0,147.0,1285.0,1.0,127.0,7004.0,149238.0,313.0,156555.0,0.04902906766373176,3,2.695480821436556
output4.txt,3186.0,2.0,144498.0,1949.0,256.0,372.0,162.0,194.0,1173.0,25.0,126.0,6589.0,145161.0,193.0,151943.0,0.04672053788552021,4,2.777298065722014
output5.txt,3184.0,3.0,115699.0,1621.0,200.0,351.0,143.0,87.0,963.0,1.0,340.0,5971.0,116457.0,166.0,122594.0,0.05269756219033635,5,3.442183141099891
output6.txt,3198.0,3.0,103579.0,1663.0,172.0,479.0,140.0,102.0,1311.0,3.0,207.0,6347.0,104334.0,176.0,110857.0,0.0625203672819982,6,3.806624750805091
output7.txt,3207.0,4.0,103650.0,1683.0,169.0,332.0,131.0,92.0,1034.0,2.0,299.0,6095.0,104350.0,158.0,110603.0,0.05992333493052228,7,3.815366671790096
output8.txt,3188.0,5.0,102117.0,1577.0,115.0,288.0,153.0,136.0,1085.0,2.0,140.0,5967.0,102680.0,159.0,108806.0,0.05966108297623685,8,3.8783798687572375
output9.txt,3364.0,6.0,84150.0,1457.0,117.0,246.0,127.0,115.0,1129.0,3.0,171.0,6070.0,84641.0,175.0,90886.0,0.0737822095674673,9,4.6430803424069715
output10.txt,3129.0,6.0,84578.0,1669.0,67.0,239.0,134.0,148.0,1360.0,3.0,172.0,6228.0,85118.0,160.0,91506.0,0.07504875584482718,10,4.611621095884423
output11.txt,3247.0,5.0,84465.0,1790.0,90.0,240.0,127.0,146.0,1143.0,2.0,176.0,6272.0,84993.0,166.0,91431.0,0.07574741449295824,11,4.615403965832158
output12.txt,3249.0,5.0,85251.0,1525.0,202.0,240.0,158.0,121.0,1142.0,3.0,179.0,6121.0,85789.0,165.0,92075.0,0.07327279721176375,12,4.583122454520771
output13.txt,3563.0,7.0,84708.0,1729.0,62.0,212.0,129.0,156.0,1128.0,3.0,178.0,6486.0,85245.0,145.0,91876.0,0.07778755352220072,13,4.59304932735426
output14.txt,3209.0,7.0,84141.0,1690.0,56.0,187.0,123.0,152.0,1136.0,3.0,179.0,6094.0,84616.0,173.0,90883.0,0.07406400680722322,14,4.643233608045509
output15.txt,3226.0,7.0,84351.0,1687.0,33.0,201.0,125.0,131.0,1200.0,3.0,178.0,6150.0,84853.0,142.0,91145.0,0.07415176835232697,15,4.629886444676066
output16.txt,3125.0,9.0,84695.0,1754.0,134.0,208.0,127.0,258.0,1314.0,152.0,182.0,6479.0,85309.0,170.0,91958.0,0.07794019388341207,16,4.588953652754518
output17.txt,3194.0,10.0,84348.0,1870.0,31.0,169.0,103.0,264.0,1227.0,3.0,183.0,6325.0,84920.0,157.0,91402.0,0.07633066415449835,17,4.616868339861272
output18.txt,3197.0,9.0,84595.0,1995.0,163.0,165.0,108.0,237.0,1247.0,4.0,156.0,6607.0,85110.0,162.0,91879.0,0.07953236987428035,18,4.592899356762699
output19.txt,3122.0,11.0,84542.0,1948.0,90.0,145.0,90.0,203.0,1207.0,22.0,192.0,6390.0,85040.0,144.0,91574.0,0.07683443085606774,19,4.608196649704064
output20.txt,3205.0,11.0,85270.0,2093.0,61.0,188.0,119.0,230.0,1164.0,195.0,249.0,6720.0,85921.0,146.0,92787.0,0.0799106155654613,20,4.547953915958055
